state_abbr,year,robbery rate
MD,2004,229.65721161764844
MD,2005,257.2277546206803
MD,2006,255.99535020131856
MD,2007,235.9770067478958
MD,2008,234.36181182289042
MD,2009,210.66841559876184
MD,2010,191.05788929600507
MD,2011,177.1020204905428
MD,2012,172.86708894744962
MD,2013,169.1942242938187
MD,2014,160.07441242733057
MD,2015,168.6576926073018
MD,2016,171.01455393856207
ME,1995,26.913779210314264
ME,1996,23.49155269509252
ME,1997,20.69243156199678
ME,1998,21.141479099678456
ME,1999,19.392836621336908
ME,2000,19.37371904028714
ME,2001,20.553224287060033
ME,2002,20.85112758264383
ME,2003,22.074465037942872
ME,2004,21.977437004984846
ME,2005,24.502738541366387
ME,2006,28.980594351886463
ME,2007,26.495455915433187
ME,2008,25.295186470341584
ME,2009,30.266229032671596
ME,2010,31.03861067562467
ME,2011,27.8500373341041
ME,2012,31.6145791384425
ME,2013,25.212575882327265
ME,2014,22.852744133460025
ME,2015,23.393079710226687
ME,2016,19.977784103241582
MI,1995,187.29709917268823
MI,1996,176.22472378569938
MI,1997,152.79312461632904
MI,1998,155.78078842823672
MI,1999,142.97771390770774
MI,2000,137.9692837228846
MI,2001,129.2889875204197
MI,2002,117.96016437356103
MI,2003,111.62064769730591
MI,2004,112.1909034712871
MI,2005,132.14751694241454
MI,2006,140.94198853901628
MI,2007,132.69694400874042
MI,2008,132.41468769387114
MI,2009,124.64734490723768
MI,2010,116.65316579905748
MI,2011,103.91016281486283
MI,2012,105.46906107643203
MI,2013,101.96810670392061
MI,2014,81.04832585843963
MI,2015,78.82864147638847
MI,2016,71.71419074766072
MN,1995,123.68763557483732
MN,1996,115.60755689136968
MN,1997,114.6606914212548
MN,1998,92.5079365079365
MN,1999,82.02268742927454
MN,2000,75.4754720977567
MN,2001,75.39319114019663
MN,2002,78.35151750590224
MN,2003,77.13008167969018
MN,2004,79.8580057945126
MN,2005,92.14434360711556
MN,2006,105.30082535642326
MN,2007,91.77275526630356
MN,2008,80.05144440274898
MN,2009,68.72109640815964
MN,2010,63.79623767902207
MN,2011,63.30298717165432
MN,2012,64.5953283914964
MN,2013,67.76022397391398
MN,2014,67.56304830840415
MN,2015,68.78330522842496
MN,2016,67.53681916074632
MO,1995,204.03831705484598
MO,1996,170.59152827019966
MO,1997,156.05331358756015
MO,1998,149.21860636146351
MO,1999,130.7344205862915
MO,2000,135.79470014625008
MO,2001,137.8494597333586
MO,2002,123.8900341896985
MO,2003,116.9043803997899
MO,2004,115.11351964013743
MO,2005,124.11812057292344
MO,2006,130.02521260243316
MO,2007,131.46400858054426
MO,2008,125.09293161501826
MO,2009,124.20710871504014
MO,2010,103.15700462747145
MO,2011,104.42697134823457
MO,2012,95.9744192153336
MO,2013,90.75393425583842
MO,2014,92.2189897567988
MO,2015,105.04913923232334
MO,2016,107.82865583456426
MS,1995,130.88616981831666
MS,1996,134.2415316642121
MS,1997,136.98279018674478
MS,1998,123.32848837209302
MS,1999,111.64410848874475
MS,2000,95.0202098108103
MS,2001,115.18557851379832
MS,2002,117.06705856457508
MS,2003,104.62798437795958
MS,2004,86.28749351895773
MS,2005,82.68878485650316
MS,2006,111.97234877376707
MS,2007,99.21936696262314
MS,2008,104.77714354162399
MS,2009,100.57601704067349
MS,2010,93.49941684915383
MS,2011,83.82992600732773
MS,2012,76.24437040633528
MS,2013,80.64284344059199
MS,2014,80.34226808394213
MS,2015,77.34019314977303
MS,2016,80.2013968493599
MT,1995,29.080459770114942
MT,1996,29.69283276450512
MT,1997,20.36405005688282
MT,1998,26.363636363636363
MT,1999,27.073593730707234
MT,2000,22.50067889979439
MT,2001,25.40364177772476
MT,2002,31.086193336350416
MT,2003,32.45632282932004
MT,2004,25.137012902947397
MT,2005,18.93580761219466
MT,2006,24.6656899194607
MT,2007,24.32503254647595
MT,2008,21.086579012651946
MT,2009,23.3848792140219
MT,2010,15.54051735795059
MT,2011,17.13998759104992
MT,2012,20.089627586042283
MT,2013,21.38217534566208
MT,2014,19.74098267093541
MT,2015,20.347397906931
MT,2016,25.51509803169244
NC,1995,179.23558026407227
NC,1996,163.88092311894033
NC,1997,172.6195286195286
NC,1998,160.7871720116618
NC,1999,157.9837059942445
NC,2000,156.4729809860792
NC,2001,162.123199739706
NC,2002,146.9451541208454
NC,2003,145.21700614758723
NC,2004,137.95496921246
NC,2005,145.69108945917185
NC,2006,152.06901593800262
NC,2007,149.36488470628953
NC,2008,155.30640892937575
NC,2009,126.05421834445453
NC,2010,100.62515206217756
NC,2011,97.89554623963707
NC,2012,96.34437121962208
NC,2013,94.17279077486387
NC,2014,84.61441189362145
NC,2015,87.90071255281168
NC,2016,92.0094122396171
ND,1995,9.98439937597504
ND,1996,11.024844720496894
ND,1997,6.396255850234009
ND,1998,10.18808777429467
ND,1999,8.837463269293288
ND,2000,8.720024914356898
ND,2001,9.4258110124892
ND,2002,9.149549384692804
ND,2003,8.367540258920114
ND,2004,6.757733676144257
ND,2005,8.509230151038835
ND,2006,11.794919377794413
ND,2007,11.723970830760573
ND,2008,11.379916162754625
ND,2009,16.541855532400394
ND,2010,13.340665758513198
ND,2011,13.289715804538949
ND,2012,18.108063791714493
ND,2013,22.241962155508617
ND,2014,23.64737041241014
ND,2015,21.008542152516732
ND,2016,23.880140167187367
NE,1995,65.18020769700672
NE,1996,63.68038740920097
NE,1997,66.20398310199155
NE,1998,77.57065544197233
NE,1999,75.86907302878463
NE,2000,67.02651784091633
NE,2001,65.57990836254294
NE,2002,78.66568185028167
NE,2003,67.05132447948891
NE,2004,65.11400099788065
NE,2005,59.152649669001114
NE,2006,64.24136657673252
NE,2007,62.832087304480915
NE,2008,72.72494830192572
NE,2009,67.905326616272
NE,2010,55.73341070442113
NE,2011,53.901947309625164
NE,2012,60.79715417576199
NE,2013,55.37812558688774
NE,2014,55.444030207437144
NE,2015,52.48803309808767
NE,2016,49.60369479360458
NH,1995,27.35191637630662
NH,1996,27.280550774526677
NH,1997,23.358908780903665
NH,1998,21.518987341772153
NH,1999,21.39644702422877
NH,2000,36.656832169971175
NH,2001,35.33543651968978
NH,2002,32.407280260199855
NH,2003,37.24669338599602
NH,2004,38.4861399864067
NH,2005,27.930417295738735
NH,2006,33.08248947634602
NH,2007,34.274996428104586
NH,2008,31.995525186406233
NH,2009,34.275144857784575
NH,2010,34.173572892610686
NH,2011,38.624775858680366
NH,2012,35.63816143406146
NH,2013,48.766989058048594
NH,2014,40.963978807165084
NH,2015,35.71130529707671
NH,2016,31.989931038099485
NJ,1995,283.020767778477
NJ,1996,235.828743114672
NJ,1997,210.5674903762573
NJ,1998,186.1860751694393
NJ,1999,174.9021171960844
NJ,2000,161.0700767141847
NJ,2001,165.78319458928772
NJ,2002,162.73574234319878
NJ,2003,154.37819904906178
NJ,2004,150.55555645107992
NJ,2005,151.84157460229918
NJ,2006,153.1309315312176
NJ,2007,144.68242857406008
NJ,2008,146.28004018583704
NJ,2009,133.6627108368774
NJ,2010,134.30166599750692
NJ,2011,138.19257155786573
NJ,2012,128.38658378806167
NJ,2013,135.60003689613714
NJ,2014,117.45366626825572
NJ,2015,108.88127151479488
NJ,2016,100.44196027735128
NM,1995,154.540059347181
NM,1996,162.405137186223
NM,1997,171.4450867052023
NM,1998,163.4427173287277
NM,1999,148.23168054147382
NM,2000,137.37970342696116
NM,2001,147.1925546237305
NM,2002,119.11164097613232
NM,2003,103.11078367389524
NM,2004,108.3548869525372
NM,2005,98.28736983932896
NM,2006,107.18311019293472
NM,2007,117.92386981164162
NM,2008,108.39788828214292
NM,2009,96.13513853760143
NM,2010,78.22207421125671
NM,2011,82.74505766657013
NM,2012,88.64720619714524
NM,2013,87.78592118913505
NM,2014,100.02076174009274
NM,2015,119.45231713460569
NM,2016,131.5223580800715
NV,1995,324.57516339869284
NV,1996,307.61072988147225
NV,1997,302.38521168753726
NV,1998,254.89410417859187
NV,1999,232.63744760959358
NV,2000,227.3481338986927
NV,2001,235.11218359725456
NV,2002,236.12946981598233
NV,2003,233.02933226058076
NV,2004,210.25351301257064
NV,2005,194.91763258399345
NV,2006,282.02437238757796
NV,2007,270.44705232982847
NV,2008,249.44551638413995
NV,2009,228.06682342792607
NV,2010,195.91144861687923
NV,2011,158.3807225513855
NV,2012,178.55366448902356
NV,2013,185.67118539391453
NV,2014,209.77486020587813
NV,2015,218.0141329473555
NV,2016,215.64200434141094
NY,1995,399.7132774591972
NY,1996,339.96150673632116
NY,1997,309.2793736560622
NY,1998,270.2888583218707
NY,1999,240.81970033854125
NY,2000,213.62786530699591
NY,2001,191.54438060505075
NY,2002,191.556594225875
NY,2003,186.2856979272528
NY,2004,173.77975425926627
NY,2005,182.12625870916236
NY,2006,178.4868609191159
NY,2007,161.08113032367694
NY,2008,163.0914090226537
NY,2009,144.006691825833
NY,2010,147.61379693518077
NY,2011,145.65459600886408
NY,2012,146.26490176171228
NY,2013,138.30951762010756
NY,2014,121.7083033358182
NY,2015,120.92357679573841
NY,2016,113.01936375810959
OH,1995,178.7373329746211
OH,1996,164.1099078134789
OH,1997,158.7251922045414
OH,1998,133.4641805691855
OH,1999,127.96875519137392
OH,2000,137.49500138287735
OH,2001,151.00372834078956
OH,2002,156.64362781417933
OH,2003,147.7135223227088
OH,2004,152.21643956761065
OH,2005,162.78888313993454
OH,2006,169.1757261670712
OH,2007,160.03429692566885
OH,2008,162.86040897064316
OH,2009,153.08449666432608
OH,2010,142.88477832491822
OH,2011,138.55809982612436
OH,2012,133.26372966540123
OH,2013,125.15549379731516
OH,2014,110.20093303456636
OH,2015,108.71953599670489
OH,2016,107.82329790854831
OK,1995,115.55826723611959
OK,1996,106.60405937594668
OK,1997,103.88905637624359
OK,1998,91.96295189722139
OK,1999,82.93518488739278
OK,2000,75.78273567851195
OK,2001,79.14509463257336
OK,2002,84.99297933919821
OK,2003,91.9443462925239
OK,2004,87.69574740900218
OK,2005,91.15430702689645
OK,2006,87.8685028995209
OK,2007,93.77118283279647
OK,2008,101.52755314478713
OK,2009,91.07552108053864
OK,2010,88.95841267342236
OK,2011,86.88843477408346
OK,2012,85.12021133293848
OK,2013,78.45594139603303
OK,2014,79.20899265647836
OK,2015,77.23778437606049
OK,2016,80.59005581919078
OR,1995,137.9178605539637
OR,1996,122.15980024968789
OR,1997,117.51464693185322
OR,1998,105.17976843388178
OR,1999,86.18417600630127
OR,2000,84.40991535918494
OR,2001,79.14342002642337
OR,2002,77.8898719021235
OR,2003,79.87475907112977
OR,2004,76.60044389831938
OR,2005,68.09804469573118
OR,2006,73.25526284074776
OR,2007,76.42520056945314
OR,2008,70.07804625784289
OR,2009,65.32211329975479
OR,2010,63.07427288728542
OR,2011,57.83008193155059
OR,2012,62.02880608523358
OR,2013,60.94599176999991
OR,2014,57.161534467398035
OR,2015,53.74401746842073
OR,2016,55.64967576368675
PA,1995,189.34724983432736
PA,1996,188.98473788984737
PA,1997,156.30615640599
PA,1998,164.87792683943005
PA,1999,155.66095626352342
PA,2000,147.82933126098135
PA,2001,142.24052726856573
PA,2002,139.21032390186025
PA,2003,145.34271577957088
PA,2004,149.05033058692058
PA,2005,154.88481258244428
PA,2006,169.56549034007224
PA,2007,156.36069516806845
PA,2008,151.61131912290847
PA,2009,138.8680964907959
PA,2010,128.75733562976137
PA,2011,126.84452259221396
PA,2012,123.27181493950985
PA,2013,115.31694438498256
PA,2014,105.87186713655173
PA,2015,101.35316837899971
PA,2016,96.41568473400855
RI,1995,92.32323232323232
RI,1996,83.23232323232324
RI,1997,71.63120567375887
RI,1998,66.70040485829959
RI,1999,79.53016645825322
RI,2000,87.95032809669576
RI,2001,93.04880154842266
RI,2002,85.7416181951951
RI,2003,77.13152504823043
RI,2004,67.6904499979628
RI,2005,72.28159269136226
RI,2006,69.31370069594702
RI,2007,71.8450566819684
RI,2008,83.74667392471174
RI,2009,74.53411431159438
RI,2010,74.29731085538818
RI,2011,70.81357564774434
RI,2012,68.07552860885991
RI,2013,64.84049996487411
RI,2014,50.24139568701317
RI,2015,51.81852716020261
RI,2016,51.11574308091622
SC,1995,175.90525456030494
SC,1996,171.9653960529873
SC,1997,176.17021276595744
SC,1998,154.92700729927006
SC,1999,148.23446574857377
SC,2000,155.03443160189948
SC,2001,147.38591254577346
SC,2002,140.69989302519392
SC,2003,139.8254507870334
SC,2004,130.25585222297286
SC,2005,133.20200718965899
SC,2006,136.58088205516506
SC,2007,144.15652212975039
SC,2008,147.21639358899952
SC,2009,126.12792743730765
SC,2010,108.19248039617813
SC,2011,99.09384021904638
SC,2012,95.50289546741269
SC,2013,83.09008788689019
SC,2014,83.20287586246883
SC,2015,80.69732293270823
SC,2016,81.33245745566676
SD,1995,25.925925925925927
SD,1996,18.852459016393443
SD,1997,23.306233062330623
SD,1998,20.18970189701897
SD,1999,14.049292556739363
SD,2000,17.35457922431655
SD,2001,13.582584752691462
SD,2002,15.38588995538092
SD,2003,13.596459691072747
SD,2004,14.533733184016526
SD,2005,18.712502403588672
SD,2006,20.206696601566147
SD,2007,14.820136295016164
SD,2008,16.66264607793642
SD,2009,14.402073898641405
SD,2010,18.858728529827406
SD,2011,20.277005754055704
SD,2012,18.823879229827575
SD,2013,18.45040271552081
SD,2014,23.321114163299363
SD,2015,25.060640922977576
SD,2016,31.42859123650708
TN,1995,223.21156773211567
TN,1996,223.7218045112782
TN,1997,213.9903129657228
TN,1998,177.99668569324248
TN,1999,156.79666492508937
TN,2000,166.36542777007224
TN,2001,177.7403477720624
TN,2002,162.579130594584
TN,2003,161.0378963417555
TN,2004,150.39117315974858
TN,2005,168.05622134594412
TN,2006,184.52332357919278
TN,2007,179.20259151018587
TN,2008,173.84062271114138
TN,2009,153.31338284637184
TN,2010,131.51528383455218
TN,2011,126.28545293773058
TN,2012,126.2758884161741
TN,2013,112.8628043567228
TN,2014,110.9994702020334
TN,2015,113.70638854317538
TN,2016,117.46763062391504
TX,1995,179.80666524246956
TX,1996,171.49728147218738
TX,1997,157.01424970420288
TX,1998,145.1265182186235
TX,1999,146.701223065633
TX,2000,145.10483976938224
TX,2001,165.40184417347578
TX,2002,172.8855392379557
TX,2003,167.47216963346864
TX,2004,159.3882112888613
TX,2005,156.0938897550595
TX,2006,158.4836817661623
TX,2007,162.2213167628694
TX,2008,155.13232348585566
TX,2009,153.42400395249803
TX,2010,130.05343504135234
TX,2011,111.65827044850342
TX,2012,116.59275487978188
TX,2013,120.0122072146389
TX,2014,114.98169062708519
TX,2015,116.38505340883269
TX,2016,119.57607970197752
UT,1995,67.09379805228089
UT,1996,68.85
UT,1997,68.38271005342399
UT,1998,65.95238095238095
UT,1999,54.37038344736402
UT,2000,55.6160326424019
UT,2001,52.52967465831575
UT,2002,49.163593582684754
UT,2003,53.483688537867344
UT,2004,51.059442113629565
UT,2005,43.97000562976693
UT,2006,48.70467906087026
UT,2007,53.86851545931888
UT,2008,51.929087012831346
UT,2009,46.82945888991198
UT,2010,45.721837563894375
UT,2011,38.339266622061885
